Cohort group type,Cohort group value,Cohort day,Month 9,Month 8,Month 7,Month 6,Month 5,Month 4,Month 3,Month 2,Month 1,Month 0
Last active day,Born,11/26/12,0,18,0,0,0,0,0,0,0,0
Last active day,Born,11/27/12,0,14,0,0,0,0,0,0,0,0
Last active day,Born,11/28/12,0,0,0,0,0,0,0,0,0,0
Last active day,Born,11/29/12,0,0,0,0,0,0,0,0,0,0
Last active day,Born,11/30/12,0,0,0,0,0,0,0,0,0,0
Last active day,Born,12/01/12,0,29,0,0,0,0,0,0,0,0
Last active day,Born,12/02/12,0,0,0,0,0,0,0,0,0,0
Last active day,Born,12/03/12,0,0,0,0,0,0,0,0,0,0
Last active day,Born,12/04/12,0,0,21,0,0,0,0,0,0,0
Last active day,Born,12/05/12,0,0,0,0,0,0,0,0,0,0
Last active day,Born,12/06/12,0,0,0,0,0,0,0,0,0,0
Last active day,Born,12/07/12,0,0,6,0,0,0,0,0,0,0
Last active day,Born,12/08/12,0,0,0,0,0,0,0,0,0,0
Last active day,Born,12/09/12,0,0,20,0,0,0,0,0,0,0
Last active day,Born,12/10/12,0,0,0,0,0,0,0,0,0,0
Last active day,Born,12/11/12,0,0,17,0,0,0,0,0,0,0
Last active day,Born,12/12/12,0,0,0,0,0,0,0,0,0,0
Last active day,Born,12/13/12,0,0,0,0,0,0,0,0,0,0
Last active day,Born,12/14/12,0,0,0,0,0,0,0,0,0,0
Last active day,Born,12/15/12,0,0,21,0,0,0,0,0,0,0
Last active day,Born,12/16/12,0,0,2,0,0,0,0,0,0,0
Last active day,Born,12/17/12,0,0,2,0,0,0,0,0,0,0
Last active day,Born,12/18/12,0,0,0,0,0,0,0,0,0,0
Last active day,Born,12/19/12,0,0,10,0,0,0,0,0,0,0
Last active day,Born,12/20/12,0,0,20,0,0,0,0,0,0,0
Last active day,Born,12/21/12,0,0,25,0,0,0,0,0,0,0
Last active day,Born,12/22/12,0,0,35,0,0,0,0,0,0,0
Last active day,Born,12/23/12,0,0,35,0,0,0,0,0,0,0
Last active day,Born,12/24/12,0,0,10,0,0,0,0,0,0,0
Last active day,Born,12/25/12,-1,0,1,0,0,0,0,0,0,0
Last active day,Born,12/26/12,-1,0,0,0,0,0,0,0,0,0
Last active day,Born,12/27/12,0,0,11,0,0,0,0,0,0,0
Last active day,Born,12/28/12,0,0,40,0,0,0,0,0,0,0
Last active day,Born,12/29/12,0,0,18,0,0,0,0,0,0,0
Last active day,Born,12/30/12,-1,0,21,0,0,0,0,0,0,0
Last active day,Born,12/31/12,0,0,20,0,0,0,0,0,0,0
Last active day,Born,01/01/13,0,0,38,0,0,0,0,0,0,0
Last active day,Born,01/02/13,0,0,24,0,0,0,0,0,0,0
Last active day,Born,01/03/13,0,0,0,37,0,0,0,0,0,0
Last active day,Born,01/04/13,0,0,0,24,0,0,0,0,0,0
Last active day,Born,01/05/13,-2,0,0,40,0,0,0,0,0,0
Last active day,Born,01/06/13,0,0,0,2,0,0,0,0,0,0
Last active day,Born,01/07/13,0,0,0,36,0,0,0,0,0,0
Last active day,Born,01/08/13,-3,0,0,0,0,0,0,0,0,0
Last active day,Born,01/09/13,0,0,0,22,0,0,0,0,0,0
Last active day,Born,01/10/13,-2,0,0,0,0,0,0,0,0,0
Last active day,Born,01/11/13,-1,0,0,12,0,0,0,0,0,0
Last active day,Born,01/12/13,-3,0,0,17,0,0,0,0,0,0
Last active day,Born,01/13/13,-2,0,0,9,0,0,0,0,0,0
Last active day,Born,01/14/13,-1,0,0,12,0,0,0,0,0,0
Last active day,Born,01/15/13,0,0,0,27,0,0,0,0,0,0
Last active day,Born,01/16/13,-2,-1,0,32,0,0,0,0,0,0
Last active day,Born,01/17/13,0,-1,0,46,0,0,0,0,0,0
Last active day,Born,01/18/13,0,-1,0,15,0,0,0,0,0,0
Last active day,Born,01/19/13,0,0,0,22,0,0,0,0,0,0
Last active day,Born,01/20/13,0,0,0,12,0,0,0,0,0,0
Last active day,Born,01/21/13,0,-1,0,45,0,0,0,0,0,0
Last active day,Born,01/22/13,0,0,0,38,0,0,0,0,0,0
Last active day,Born,01/23/13,0,-1,0,25,0,0,0,0,0,0
Last active day,Born,01/24/13,0,-1,0,55,0,0,0,0,0,0
Last active day,Born,01/25/13,0,-2,0,29,0,0,0,0,0,0
Last active day,Born,01/26/13,0,-2,0,52,0,0,0,0,0,0
Last active day,Born,01/27/13,0,-1,0,33,0,0,0,0,0,0
Last active day,Born,01/28/13,0,-2,0,40,0,0,0,0,0,0
Last active day,Born,01/29/13,0,-1,0,52,0,0,0,0,0,0
Last active day,Born,01/30/13,0,-3,-1,57,0,0,0,0,0,0
Last active day,Born,01/31/13,0,-1,-1,38,0,0,0,0,0,0
Last active day,Born,02/01/13,0,-2,-2,35,0,0,0,0,0,0
Last active day,Born,02/02/13,0,-2,-2,0,42,0,0,0,0,0
Last active day,Born,02/03/13,0,-2,-1,0,46,0,0,0,0,0
Last active day,Born,02/04/13,0,-4,-3,0,35,0,0,0,0,0
Last active day,Born,02/05/13,0,-3,-2,0,35,0,0,0,0,0
Last active day,Born,02/06/13,0,-4,-2,0,46,0,0,0,0,0
Last active day,Born,02/07/13,0,-2,-1,0,34,0,0,0,0,0
Last active day,Born,02/08/13,0,-2,-1,0,62,0,0,0,0,0
Last active day,Born,02/09/13,0,-4,-1,0,34,0,0,0,0,0
Last active day,Born,02/10/13,0,-3,-1,0,39,0,0,0,0,0
Last active day,Born,02/11/13,0,-4,-1,0,66,0,0,0,0,0
Last active day,Born,02/12/13,0,-3,-1,0,67,0,0,0,0,0
Last active day,Born,02/13/13,0,-4,-1,0,47,0,0,0,0,0
Last active day,Born,02/14/13,0,-5,-1,0,42,0,0,0,0,0
Last active day,Born,02/15/13,0,-4,-1,0,57,0,0,0,0,0
Last active day,Born,02/16/13,0,-4,-1,0,54,0,0,0,0,0
Last active day,Born,02/17/13,0,-5,-1,0,59,0,0,0,0,0
Last active day,Born,02/18/13,0,-5,-2,0,69,0,0,0,0,0
Last active day,Born,02/19/13,0,-7,-2,0,56,0,0,0,0,0
Last active day,Born,02/20/13,0,-1,-2,0,52,0,0,0,0,0
Last active day,Born,02/21/13,0,0,-3,0,57,0,0,0,0,0
Last active day,Born,02/22/13,0,0,-2,0,57,0,0,0,0,0
Last active day,Born,02/23/13,0,0,-2,0,63,0,0,0,0,0
Last active day,Born,02/24/13,0,0,-3,0,58,0,0,0,0,0
Last active day,Born,02/25/13,0,0,-2,0,75,0,0,0,0,0
Last active day,Born,02/26/13,0,0,-3,0,55,0,0,0,0,0
Last active day,Born,02/27/13,0,0,-2,0,71,0,0,0,0,0
Last active day,Born,02/28/13,0,0,-4,0,60,0,0,0,0,0
Last active day,Born,03/01/13,0,0,-3,0,68,0,0,0,0,0
Last active day,Born,03/02/13,0,0,-3,0,67,0,0,0,0,0
Last active day,Born,03/03/13,0,0,-4,0,61,0,0,0,0,0
Last active day,Born,03/04/13,0,0,-3,-1,0,64,0,0,0,0
Last active day,Born,03/05/13,0,0,-3,-1,0,80,0,0,0,0
Last active day,Born,03/06/13,0,0,-4,-1,0,78,0,0,0,0
Last active day,Born,03/07/13,0,0,-4,-1,0,77,0,0,0,0
Last active day,Born,03/08/13,0,0,-5,-1,0,66,0,0,0,0
Last active day,Born,03/09/13,0,0,-5,-1,0,82,0,0,0,0
Last active day,Born,03/10/13,0,0,-5,-1,0,76,0,0,0,0
Last active day,Born,03/11/13,0,0,-5,-1,0,81,0,0,0,0
Last active day,Born,03/12/13,0,0,-6,-1,0,80,0,0,0,0
Last active day,Born,03/13/13,0,0,-6,-2,0,83,0,0,0,0
Last active day,Born,03/14/13,0,0,-6,-2,0,74,0,0,0,0
Last active day,Born,03/15/13,0,0,-7,-2,0,80,0,0,0,0
Last active day,Born,03/16/13,0,0,-7,-2,0,82,0,0,0,0
Last active day,Born,03/17/13,0,0,-7,-2,0,78,0,0,0,0
Last active day,Born,03/18/13,0,0,-7,-2,0,84,0,0,0,0
Last active day,Born,03/19/13,0,0,-7,-2,0,85,0,0,0,0
Last active day,Born,03/20/13,0,0,-8,-3,0,87,0,0,0,0
Last active day,Born,03/21/13,0,0,-8,-3,0,87,0,0,0,0
Last active day,Born,03/22/13,0,0,-8,-3,0,85,0,0,0,0
Last active day,Born,03/23/13,0,0,-9,-3,0,86,0,0,0,0
Last active day,Born,03/24/13,0,0,-9,-3,0,92,0,0,0,0
Last active day,Born,03/25/13,0,0,-9,-4,0,91,0,0,0,0
Last active day,Born,03/26/13,0,0,-10,-4,0,90,0,0,0,0
Last active day,Born,03/27/13,0,0,-10,-4,0,89,0,0,0,0
Last active day,Born,03/28/13,0,0,-10,-4,0,92,0,0,0,0
Last active day,Born,03/29/13,0,0,-11,-4,-1,95,0,0,0,0
Last active day,Born,03/30/13,0,0,-11,-5,-1,93,0,0,0,0
Last active day,Born,03/31/13,0,0,-12,-5,-1,94,0,0,0,0
Last active day,Born,04/01/13,0,0,-12,-5,-1,96,0,0,0,0
Last active day,Born,04/02/13,0,0,-12,-5,-1,98,0,0,0,0
Last active day,Born,04/03/13,0,0,-13,-6,-1,0,98,0,0,0
Last active day,Born,04/04/13,0,0,-13,-6,-1,0,99,0,0,0
Last active day,Born,04/05/13,0,0,-14,-6,-1,0,100,0,0,0
Last active day,Born,04/06/13,0,0,-14,-6,-1,0,100,0,0,0
Last active day,Born,04/07/13,0,0,-15,-7,-2,0,102,0,0,0
Last active day,Born,04/08/13,0,0,-15,-7,-2,0,104,0,0,0
Last active day,Born,04/09/13,0,0,-15,-7,-2,0,104,0,0,0
Last active day,Born,04/10/13,0,0,-10,-7,-2,0,103,0,0,0
Last active day,Born,04/11/13,0,0,0,-8,-2,0,105,0,0,0
Last active day,Born,04/12/13,0,0,0,-8,-2,0,106,0,0,0
Last active day,Born,04/13/13,0,0,0,-9,-2,0,106,0,0,0
Last active day,Born,04/14/13,0,0,0,-9,-3,0,110,0,0,0
Last active day,Born,04/15/13,0,0,0,-9,-3,0,110,0,0,0
Last active day,Born,04/16/13,0,0,0,-9,-3,0,111,0,0,0
Last active day,Born,04/17/13,0,0,0,-10,-3,0,115,0,0,0
Last active day,Born,04/18/13,0,0,0,-10,-4,0,110,0,0,0
Last active day,Born,04/19/13,0,0,0,-11,-4,0,117,0,0,0
Last active day,Born,04/20/13,0,0,0,-11,-4,0,110,0,0,0
Last active day,Born,04/21/13,0,0,0,-12,-4,0,111,0,0,0
Last active day,Born,04/22/13,0,0,0,-12,-4,0,114,0,0,0
Last active day,Born,04/23/13,0,0,0,-13,-4,0,116,0,0,0
Last active day,Born,04/24/13,0,0,0,-13,-5,0,116,0,0,0
Last active day,Born,04/25/13,0,0,0,-13,-5,0,123,0,0,0
Last active day,Born,04/26/13,0,0,0,-14,-5,-1,117,0,0,0
Last active day,Born,04/27/13,0,0,0,-14,-5,-1,115,0,0,0
Last active day,Born,04/28/13,0,0,0,-14,-6,-1,119,0,0,0
Last active day,Born,04/29/13,0,0,0,-14,-6,-1,116,0,0,0
Last active day,Born,04/30/13,0,0,0,-16,-6,-1,118,0,0,0
Last active day,Born,05/01/13,0,0,0,-15,-7,-1,118,0,0,0
Last active day,Born,05/02/13,0,0,0,-16,-7,-1,125,0,0,0
Last active day,Born,05/03/13,0,0,0,-16,-7,-2,0,120,0,0
Last active day,Born,05/04/13,0,0,0,-16,-7,-2,0,126,0,0
Last active day,Born,05/05/13,0,0,0,-19,-7,-2,0,122,0,0
Last active day,Born,05/06/13,0,0,0,-17,-8,-2,0,130,0,0
Last active day,Born,05/07/13,0,0,0,-20,-9,-2,0,121,0,0
Last active day,Born,05/08/13,0,0,0,-18,-9,-2,0,129,0,0
Last active day,Born,05/09/13,0,0,0,-21,-10,-2,0,122,0,0
Last active day,Born,05/10/13,0,0,0,-20,-10,-3,0,124,0,0
Last active day,Born,05/11/13,0,0,0,-21,-10,-3,0,134,0,0
Last active day,Born,05/12/13,0,0,0,-21,-10,-3,0,143,0,0
Last active day,Born,05/13/13,0,0,0,-21,-11,-3,0,133,0,0
Last active day,Born,05/14/13,0,0,0,-23,-11,-4,0,132,0,0
Last active day,Born,05/15/13,0,0,0,-25,-12,-4,0,147,0,0
Last active day,Born,05/16/13,0,0,0,-22,-11,-4,0,125,0,0
Last active day,Born,05/17/13,0,0,0,-25,-13,-4,0,135,0,0
Last active day,Born,05/18/13,0,0,0,-23,-12,-5,0,131,0,0
Last active day,Born,05/19/13,0,0,0,-26,-12,-4,0,136,0,0
Last active day,Born,05/20/13,0,0,0,-25,-12,-5,0,137,0,0
Last active day,Born,05/21/13,0,0,0,-29,-14,-5,0,148,0,0
Last active day,Born,05/22/13,0,0,0,-28,-16,-5,0,137,0,0
Last active day,Born,05/23/13,0,0,0,-27,-16,-6,0,150,0,0
Last active day,Born,05/24/13,0,0,0,-11,-14,-6,-1,155,0,0
Last active day,Born,05/25/13,0,0,0,0,-18,-7,-1,137,0,0
Last active day,Born,05/26/13,0,0,0,0,-16,-6,-1,150,0,0
Last active day,Born,05/27/13,0,0,0,0,-15,-7,-1,156,0,0
Last active day,Born,05/28/13,0,0,0,0,-16,-7,-1,150,0,0
Last active day,Born,05/29/13,0,0,0,0,-17,-8,-1,139,0,0
Last active day,Born,05/30/13,0,0,0,0,-20,-9,-1,137,0,0
Last active day,Born,05/31/13,0,0,0,0,-21,-8,-2,156,0,0
Last active day,Born,06/01/13,0,0,0,0,-19,-8,-2,143,0,0
Last active day,Born,06/02/13,0,0,0,0,-18,-8,-2,0,158,0
Last active day,Born,06/03/13,0,0,0,0,-23,-10,-2,0,149,0
Last active day,Born,06/04/13,0,0,0,0,-19,-11,-3,0,143,0
Last active day,Born,06/05/13,0,0,0,0,-20,-10,-2,0,152,0
Last active day,Born,06/06/13,0,0,0,0,-22,-10,-2,0,159,0
Last active day,Born,06/07/13,0,0,0,0,-25,-10,-2,0,176,0
Last active day,Born,06/08/13,0,0,0,0,-21,-11,-3,0,166,0
Last active day,Born,06/09/13,0,0,0,0,-24,-10,-4,0,145,0
Last active day,Born,06/10/13,0,0,0,0,-25,-13,-4,0,142,0
Last active day,Born,06/11/13,0,0,0,0,-23,-13,-4,0,155,0
Last active day,Born,06/12/13,0,0,0,0,-23,-12,-4,0,178,0
Last active day,Born,06/13/13,0,0,0,0,-25,-14,-4,0,161,0
Last active day,Born,06/14/13,0,0,0,0,-27,-14,-4,0,172,0
Last active day,Born,06/15/13,0,0,0,0,-25,-13,-5,0,163,0
Last active day,Born,06/16/13,0,0,0,0,-29,-16,-5,0,159,0
Last active day,Born,06/17/13,0,0,0,0,-28,-17,-5,0,181,0
Last active day,Born,06/18/13,0,0,0,0,-32,-16,-5,0,156,0
Last active day,Born,06/19/13,0,0,0,0,-31,-14,-7,0,173,0
Last active day,Born,06/20/13,0,0,0,0,-34,-17,-7,-1,165,0
Last active day,Born,06/21/13,0,0,0,0,-29,-18,-7,-1,178,0
Last active day,Born,06/22/13,0,0,0,0,-36,-18,-6,-1,147,0
Last active day,Born,06/23/13,0,0,0,0,-34,-20,-8,-1,156,0
Last active day,Born,06/24/13,0,0,0,0,-34,-19,-7,-1,148,0
Last active day,Born,06/25/13,0,0,0,0,-35,-17,-8,-1,196,0
Last active day,Born,06/26/13,0,0,0,0,-38,-20,-9,-1,182,0
Last active day,Born,06/27/13,0,0,0,0,-41,-20,-10,-2,181,0
Last active day,Born,06/28/13,0,0,0,0,-37,-18,-8,-1,186,0
Last active day,Born,06/29/13,0,0,0,0,-44,-22,-10,-1,153,0
Last active day,Born,06/30/13,0,0,0,0,-43,-19,-9,-2,168,0
Last active day,Born,07/01/13,0,0,0,0,-41,-20,-9,-2,186,0
Last active day,Born,07/02/13,0,0,0,0,-38,-21,-11,-3,0,196
Last active day,Born,07/03/13,0,0,0,0,-37,-26,-13,-2,0,200
Last active day,Born,07/04/13,0,0,0,0,-38,-25,-10,-3,0,199
Last active day,Born,07/05/13,0,0,0,0,-43,-26,-10,-2,0,192
Last active day,Born,07/06/13,0,0,0,0,-49,-28,-14,-3,0,201
Last active day,Born,07/07/13,0,0,0,0,-49,-29,-11,-3,0,161
Last active day,Born,07/08/13,0,0,0,0,0,-30,-15,-4,0,183
Last active day,Born,07/09/13,0,0,0,0,0,-31,-12,-4,0,175
Last active day,Born,07/10/13,0,0,0,0,0,-27,-14,-4,0,204
Last active day,Born,07/11/13,0,0,0,0,0,-27,-16,-5,0,205
Last active day,Born,07/12/13,0,0,0,0,0,-28,-15,-5,0,214
Last active day,Born,07/13/13,0,0,0,0,0,-34,-14,-5,0,205
Last active day,Born,07/14/13,0,0,0,0,0,-28,-17,-5,0,214
Last active day,Born,07/15/13,0,0,0,0,0,-36,-15,-6,0,175
Last active day,Born,07/16/13,0,0,0,0,0,-38,-18,-7,0,170
Last active day,Born,07/17/13,0,0,0,0,0,-29,-15,-6,0,175
Last active day,Born,07/18/13,0,0,0,0,0,-33,-16,-7,0,208
Last active day,Born,07/19/13,0,0,0,0,0,-34,-21,-7,0,198
Last active day,Born,07/20/13,0,0,0,0,0,-33,-22,-7,0,187
Last active day,Born,07/21/13,0,0,0,0,0,-39,-18,-7,-1,223
Last active day,Born,07/22/13,0,0,0,0,0,-37,-19,-8,-1,182
Last active day,Born,07/23/13,0,0,0,0,0,-42,-24,-10,-1,197
Last active day,Born,07/24/13,0,0,0,0,0,-42,-19,-9,-1,213
Last active day,Born,07/25/13,0,0,0,0,0,-36,-21,-9,-2,226
Last active day,Born,07/26/13,0,0,0,0,0,-46,-22,-11,-2,201
Last active day,Born,07/27/13,0,0,0,0,0,-45,-22,-10,-2,226
Last active day,Born,07/28/13,0,0,0,0,0,-41,-24,-10,-2,188
Last active day,Born,07/29/13,0,0,0,0,0,-48,-28,-12,-2,181
Last active day,Born,07/30/13,0,0,0,0,0,-38,-27,-9,-3,232
Last active day,Born,07/31/13,0,0,0,0,0,-42,-30,-12,-3,200
Last active day,Updated profile,10/05/12,242,0,0,0,0,0,0,0,0,0
Last active day,Updated profile,10/06/12,195,0,0,0,0,0,0,0,0,0
Last active day,Updated profile,10/07/12,194,0,0,0,0,0,0,0,0,0
Last active day,Updated profile,10/08/12,183,0,0,0,0,0,0,0,0,0
Last active day,Updated profile,10/09/12,226,0,0,0,0,0,0,0,0,0
Last active day,Updated profile,10/10/12,200,0,0,0,0,0,0,0,0,0
Last active day,Updated profile,10/11/12,248,0,0,0,0,0,0,0,0,0
Last active day,Updated profile,10/12/12,235,0,0,0,0,0,0,0,0,0
Last active day,Updated profile,10/13/12,255,0,0,0,0,0,0,0,0,0
Last active day,Updated profile,10/14/12,231,0,0,0,0,0,0,0,0,0
Last active day,Updated profile,10/15/12,259,0,0,0,0,0,0,0,0,0
Last active day,Updated profile,10/16/12,237,0,0,0,0,0,0,0,0,0
Last active day,Updated profile,10/17/12,235,0,0,0,0,0,0,0,0,0
Last active day,Updated profile,10/18/12,184,0,0,0,0,0,0,0,0,0
Last active day,Updated profile,10/19/12,224,0,0,0,0,0,0,0,0,0
Last active day,Updated profile,10/20/12,241,0,0,0,0,0,0,0,0,0
Last active day,Updated profile,10/21/12,232,0,0,0,0,0,0,0,0,0
Last active day,Updated profile,10/22/12,231,0,0,0,0,0,0,0,0,0
Last active day,Updated profile,10/23/12,191,0,0,0,0,0,0,0,0,0
Last active day,Updated profile,10/24/12,267,0,0,0,0,0,0,0,0,0
Last active day,Updated profile,10/25/12,265,0,0,0,0,0,0,0,0,0
Last active day,Updated profile,10/26/12,202,0,0,0,0,0,0,0,0,0
Last active day,Updated profile,10/27/12,186,0,0,0,0,0,0,0,0,0
Last active day,Updated profile,10/28/12,204,0,0,0,0,0,0,0,0,0
Last active day,Updated profile,10/29/12,187,0,0,0,0,0,0,0,0,0
Last active day,Updated profile,10/30/12,236,0,0,0,0,0,0,0,0,0
Last active day,Updated profile,10/31/12,212,0,0,0,0,0,0,0,0,0
Last active day,Updated profile,11/01/12,270,0,0,0,0,0,0,0,0,0
Last active day,Updated profile,11/02/12,196,0,0,0,0,0,0,0,0,0
Last active day,Updated profile,11/03/12,218,0,0,0,0,0,0,0,0,0
Last active day,Updated profile,11/04/12,0,207,0,0,0,0,0,0,0,0
Last active day,Updated profile,11/05/12,0,213,0,0,0,0,0,0,0,0
Last active day,Updated profile,11/06/12,0,251,0,0,0,0,0,0,0,0
Last active day,Updated profile,11/07/12,0,220,0,0,0,0,0,0,0,0
Last active day,Updated profile,11/08/12,0,242,0,0,0,0,0,0,0,0
Last active day,Updated profile,11/09/12,0,268,0,0,0,0,0,0,0,0
Last active day,Updated profile,11/10/12,0,239,0,0,0,0,0,0,0,0
Last active day,Updated profile,11/11/12,0,255,0,0,0,0,0,0,0,0
Last active day,Updated profile,11/12/12,0,231,0,0,0,0,0,0,0,0
Last active day,Updated profile,11/13/12,0,265,0,0,0,0,0,0,0,0
Last active day,Updated profile,11/14/12,0,253,0,0,0,0,0,0,0,0
Last active day,Updated profile,11/15/12,0,256,0,0,0,0,0,0,0,0
Last active day,Updated profile,11/16/12,0,255,0,0,0,0,0,0,0,0
Last active day,Updated profile,11/17/12,0,230,0,0,0,0,0,0,0,0
Last active day,Updated profile,11/18/12,0,219,0,0,0,0,0,0,0,0
Last active day,Updated profile,11/19/12,0,276,0,0,0,0,0,0,0,0
Last active day,Updated profile,11/20/12,0,206,0,0,0,0,0,0,0,0
Last active day,Updated profile,11/21/12,-1,238,0,0,0,0,0,0,0,0
Last active day,Updated profile,11/22/12,-1,280,0,0,0,0,0,0,0,0
Last active day,Updated profile,11/23/12,-1,282,0,0,0,0,0,0,0,0
Last active day,Updated profile,11/24/12,-1,223,0,0,0,0,0,0,0,0
Last active day,Updated profile,11/25/12,-1,248,0,0,0,0,0,0,0,0
Last active day,Updated profile,11/26/12,-1,205,0,0,0,0,0,0,0,0
Last active day,Updated profile,11/27/12,-1,214,0,0,0,0,0,0,0,0
Last active day,Updated profile,11/28/12,-2,254,0,0,0,0,0,0,0,0
Last active day,Updated profile,11/29/12,-2,198,0,0,0,0,0,0,0,0
Last active day,Updated profile,11/30/12,-3,198,0,0,0,0,0,0,0,0
Last active day,Updated profile,12/01/12,-2,232,0,0,0,0,0,0,0,0
Last active day,Updated profile,12/02/12,-3,253,0,0,0,0,0,0,0,0
Last active day,Updated profile,12/03/12,-3,235,0,0,0,0,0,0,0,0
Last active day,Updated profile,12/04/12,-3,0,212,0,0,0,0,0,0,0
Last active day,Updated profile,12/05/12,-4,0,245,0,0,0,0,0,0,0
Last active day,Updated profile,12/06/12,-3,0,268,0,0,0,0,0,0,0
Last active day,Updated profile,12/07/12,-5,0,238,0,0,0,0,0,0,0
Last active day,Updated profile,12/08/12,-4,0,206,0,0,0,0,0,0,0
Last active day,Updated profile,12/09/12,-4,0,221,0,0,0,0,0,0,0
Last active day,Updated profile,12/10/12,-5,0,288,0,0,0,0,0,0,0
Last active day,Updated profile,12/11/12,-6,0,260,0,0,0,0,0,0,0
Last active day,Updated profile,12/12/12,-5,0,208,0,0,0,0,0,0,0
Last active day,Updated profile,12/13/12,-5,0,220,0,0,0,0,0,0,0
Last active day,Updated profile,12/14/12,-6,0,274,0,0,0,0,0,0,0
Last active day,Updated profile,12/15/12,-8,0,286,0,0,0,0,0,0,0
Last active day,Updated profile,12/16/12,-7,0,257,0,0,0,0,0,0,0
Last active day,Updated profile,12/17/12,-7,0,267,0,0,0,0,0,0,0
Last active day,Updated profile,12/18/12,-7,0,256,0,0,0,0,0,0,0
Last active day,Updated profile,12/19/12,-8,-1,231,0,0,0,0,0,0,0
Last active day,Updated profile,12/20/12,-9,-1,289,0,0,0,0,0,0,0
Last active day,Updated profile,12/21/12,-8,-1,281,0,0,0,0,0,0,0
Last active day,Updated profile,12/22/12,-11,-1,253,0,0,0,0,0,0,0
Last active day,Updated profile,12/23/12,-9,-1,256,0,0,0,0,0,0,0
Last active day,Updated profile,12/24/12,-11,-1,211,0,0,0,0,0,0,0
Last active day,Updated profile,12/25/12,-10,-1,232,0,0,0,0,0,0,0
Last active day,Updated profile,12/26/12,-10,-1,232,0,0,0,0,0,0,0
